rel_id;change_type;category;restriction_old;restriction_new;except_old;except_new;from_ways;via;to_ways
21006575;restriction_added;turn_restriction;;restriction=no_left_turn;;;920880654;1530947408,1530947412;920880656
21006576;restriction_added;turn_restriction;;restriction=only_left_turn;;;920880654;575537081,1530947408;13125116
21006577;restriction_added;turn_restriction;;restriction=no_right_turn;;;920880655;920880656;1530947408
21006578;restriction_added;turn_restriction;;restriction=no_u_turn;;;920880655;8549693391;920880655
21006579;restriction_added;turn_restriction;;restriction=only_left_turn;;;920880656;1530947409;1530947410
21006580;restriction_added;turn_restriction;;restriction=only_right_turn;;;490207874;4823824959;490207877
21006581;restriction_added;turn_restriction;;restriction=only_right_turn;;;490207872;4823824957;1530947410
21006582;restriction_added;turn_restriction;;restriction=no_u_turn;;;22754171;623095583;483411124
21006583;restriction_added;turn_restriction;;restriction=only_straight_on;;;623095583;312277538;22754167
21006584;restriction_added;turn_restriction;;restriction=only_straight_on;;;1530947415;1826208695;1530947414
21006585;restriction_added;turn_restriction;;restriction=only_straight_on;;;135000737;1483392055;1318197148
21006586;restriction_added;turn_restriction;;restriction=only_straight_on;;;22737056;29527227;623095583
21006587;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947415;307184496;1530947415
21006588;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947414;1826208695;1530947414
21006589;restriction_added;turn_restriction;;restriction=only_right_turn;;;1002937223;1483392071;22754167
21006590;restriction_added;turn_restriction;;restriction=no_u_turn;;;1002937222;623095583;1002808327
21006591;restriction_added;turn_restriction;;restriction=only_straight_on;;;312277538;1483392071;22754167
21006592;restriction_added;turn_restriction;;restriction=only_straight_on;;;312277538;29403188;623095583
21006593;restriction_added;turn_restriction;;restriction=no_u_turn;;;623095583;29527227;623095583
21006594;restriction_added;turn_restriction;;restriction=no_u_turn;;;22754167;1483392071;22754167
21006595;restriction_added;turn_restriction;;restriction=only_straight_on;;;135000738;305832258;592506712
21006596;restriction_added;turn_restriction;;restriction=only_straight_on;;;483411124;305832258;592506712
21006597;restriction_added;turn_restriction;;restriction=only_straight_on;;;1002808327;1483392055;1318197148
21006598;restriction_added;turn_restriction;;restriction=no_u_turn;;;22737056;307184496;22737056
21006599;restriction_added;turn_restriction;;restriction=only_straight_on;;;27855084;244178520;1530947416
21006600;restriction_added;turn_restriction;;restriction=no_right_turn;;;135000744;1826208693;1331703615
21006601;restriction_added;turn_restriction;;restriction=no_u_turn;;;135000744;1826208693;135000744
21006602;restriction_added;turn_restriction;;restriction=only_straight_on;;;171617087;305830601;171617089
21006603;restriction_added;turn_restriction;;restriction=no_u_turn;;;1413408243;1826208712;1413408243
21006604;restriction_added;turn_restriction;;restriction=no_u_turn;;;171617088;1413408243;171617087
21006605;restriction_added;turn_restriction;;restriction=no_u_turn;;;218801441;1413408243;1331703615
21006606;restriction_added;turn_restriction;;restriction=only_straight_on;;;1413408243;1826208693;135000744
21006607;restriction_added;turn_restriction;;restriction=only_straight_on;;;1331703615;244178520;1530947416
21006608;restriction_added;turn_restriction;;restriction=only_straight_on;;;27855078;1826208700;171617088
21006609;restriction_added;turn_restriction;;restriction=no_u_turn;;;171617089;305830601;171617089
21006610;restriction_added;turn_restriction;;restriction=no_left_turn;;;1390729923;29403195;1331117051
21006611;restriction_added;turn_restriction;;restriction=no_u_turn;;;1331117053;29403195;1331117053
21006612;restriction_added;turn_restriction;;restriction=no_u_turn;;;27942616;29403195;27942616
21006613;restriction_added;turn_restriction;;restriction=no_u_turn;;;173031090;1838588061;173031090
21006614;restriction_added;turn_restriction;;restriction=only_straight_on;;;173031102;7881860425;844837551
21006615;restriction_added;turn_restriction;;restriction=only_straight_on;;;238041751;7881860425;844837551
21006616;restriction_added;turn_restriction;;restriction=no_u_turn;;;545889430;1837041102;545889430
21006617;restriction_added;turn_restriction;;restriction=only_straight_on;;;173031089;8418051938;239534669
21006618;restriction_added;turn_restriction;;restriction=only_straight_on;;;239534669;8418051938;173031089
21006619;restriction_added;turn_restriction;;restriction=only_straight_on;;;87509349;1017997567;1218829862
21006620;restriction_added;turn_restriction;;restriction=only_straight_on;;;904958832;8404188226;87509349
21006621;restriction_added;turn_restriction;;restriction=no_left_turn;;;84014696;8403127732;904847997
21006622;restriction_added;turn_restriction;;restriction=only_straight_on;;;904843455;8403127732;904847997
21006623;restriction_added;turn_restriction;;restriction=only_straight_on;;;904848001;1017997529;128346359
21006624;restriction_added;turn_restriction;;restriction=only_straight_on;;;128346359;977504768;1530947420
21006625;restriction_added;turn_restriction;;restriction=only_straight_on;;;1530947420;8403175025;172856032
21006626;restriction_added;turn_restriction;;restriction=only_straight_on;;;172856032;8404188231;1087778605
21006627;restriction_added;turn_restriction;;restriction=only_straight_on;;;904958834;8404188231;1087778605
21006628;restriction_added;turn_restriction;;restriction=only_straight_on;;;172788896;8404188232;904958834
21006629;restriction_added;turn_restriction;;restriction=only_straight_on;;;172788883;1017997567;1218829862
21006630;restriction_added;turn_restriction;;restriction=no_u_turn;;;141563527;4504042543;141563527
21006631;restriction_added;turn_restriction;;restriction=no_u_turn;;;128493075;297625674;128493075
21006632;restriction_added;turn_restriction;;restriction=no_u_turn;;;947741011;413544927;684225737
21006633;restriction_added;turn_restriction;;restriction=no_u_turn;;;592506713;5239479477;592506713
21006634;restriction_added;turn_restriction;;restriction=only_right_turn;;;4629535;29381019;413544926
21006635;restriction_added;turn_restriction;;restriction=no_u_turn;;;413544926;29381019;413544926
21006636;restriction_added;turn_restriction;;restriction=no_u_turn;;;453704725;29381019;453704725
21006637;restriction_added;turn_restriction;;restriction=no_u_turn;;;453704725;4504042542;453704725
21006638;restriction_added;turn_restriction;;restriction=no_u_turn;;;429816006;413544927,947741011;684225737
21006639;restriction_added;turn_restriction;;restriction=no_u_turn;;;818659786;21673404;818659786
21006640;restriction_added;turn_restriction;;restriction=no_u_turn;;;128493057;21673404;128493057
21006641;restriction_added;turn_restriction;;restriction=no_u_turn;;;821422446;21673404;821422446
21006642;restriction_added;turn_restriction;;restriction=no_u_turn;;;36638754;21673404;36638754
21006643;restriction_added;turn_restriction;;restriction=no_u_turn;;;33757818;29542534;33757818
21006644;restriction_added;turn_restriction;;restriction=no_u_turn;;;4643481;29542534;4643481
21006645;restriction_added;turn_restriction;;restriction=no_u_turn;;;814488169;29542534;814488169
21006646;restriction_added;turn_restriction;;restriction=no_u_turn;;;814488169;2564082353;814488169
21006647;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947422;2564082353;1530947422
21006648;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947422;11613652392;1530947422
21006649;restriction_added;turn_restriction;;restriction=no_u_turn;;;133626200;11613652392;133626200
21006650;restriction_added;turn_restriction;;restriction=no_u_turn;;;1249526150;11613652392;1249526150
21006651;restriction_added;turn_restriction;;restriction=no_u_turn;;;249857433;2564082353;249857433
21006652;restriction_added;turn_restriction;;restriction=no_u_turn;;;4643481;658936829;4643481
21006653;restriction_added;turn_restriction;;restriction=no_u_turn;;;118292631;658936829;118292631
21006654;restriction_added;turn_restriction;;restriction=no_u_turn;;;33757818;7669541162;33757818
21006655;restriction_added;turn_restriction;;restriction=no_u_turn;;;821422441;83232402;821422441
21006656;restriction_added;turn_restriction;;restriction=no_u_turn;;;514735969;83232402;514735969
21006657;restriction_added;turn_restriction;;restriction=only_straight_on;;;821422441;7669541163;821422442
21006658;restriction_added;turn_restriction;;restriction=no_u_turn;;;542227751;353056215;542227751
21006659;restriction_added;turn_restriction;;restriction=no_u_turn;;;31553832;6816134604;31553832
21006660;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947429;6816134590;1530947429
21006661;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947429;353080386;1530947429
21006662;restriction_added;turn_restriction;;restriction=only_right_turn;;;31553829;353080386;27358605
21006663;restriction_added;turn_restriction;;restriction=only_straight_on;;;27358605;353080386;1530947429
21006664;restriction_added;turn_restriction;;restriction=no_u_turn;;;128932651;142147148;135706512
21006665;restriction_added;turn_restriction;;restriction=no_u_turn;;;135706518;142147148;145258230
21006666;restriction_added;turn_restriction;;restriction=no_u_turn;;;1152961359;25917616;1152961359
21006667;restriction_added;turn_restriction;;restriction=no_u_turn;;;34433242;24558431;173199457
21006668;restriction_added;turn_restriction;;restriction=no_u_turn;;;39857855;307405588;39857855
21006669;restriction_added;turn_restriction;;restriction=no_u_turn;;;27431546;24558431;34433243
21006670;restriction_added;turn_restriction;;restriction=only_straight_on;;;24558431;307405588;39857855
21006671;restriction_added;turn_restriction;;restriction=only_left_turn;;;24558431;21262882;173199457
21006672;restriction_added;turn_restriction;;restriction=no_u_turn;;;36886742;408908815;36886742
21006673;restriction_added;turn_restriction;;restriction=no_u_turn;;;36886740;408908810;36886740
21006674;restriction_added;turn_restriction;;restriction=no_u_turn;;;39011776;131700952;1434162832
21006675;restriction_added;turn_restriction;;restriction=only_left_turn;;;131700952;381685415;164446410
21006676;restriction_added;turn_restriction;;restriction=only_straight_on;;;1434162833;464788753;131700950
21006677;restriction_added;turn_restriction;;restriction=only_left_turn;;;1434162832;381685418;33494927
21006678;restriction_added;turn_restriction;;restriction=only_right_turn;;;27994226;307405560;79094525
21006679;restriction_added;turn_restriction;;restriction=no_u_turn;;;164446410;4790377,632502704;27994230
21006680;restriction_added;turn_restriction;;restriction=only_straight_on;;;918867256;8533478850;918867251
21006681;restriction_added;turn_restriction;;restriction=only_straight_on;;;818164143;2327395116;918867256
21006682;restriction_added;turn_restriction;;restriction=only_straight_on;;;27994228;8533478855;918867257
21006683;restriction_added;turn_restriction;;restriction=only_straight_on;;;918867257;8533550681;918867258
21006684;restriction_added;turn_restriction;;restriction=only_straight_on;;;131700951;8533550681;918867258
21006685;restriction_added;turn_restriction;;restriction=only_straight_on;;;818164144;8533478855;918867257
21006686;restriction_added;turn_restriction;;restriction=only_straight_on;;;1318198301;6436144743;223888370
21006687;restriction_added;turn_restriction;;restriction=only_straight_on;;;918867254;4579533040;150570847
21006688;restriction_added;turn_restriction;;restriction=no_u_turn;;;150570847;4790377;223888361
21006689;restriction_added;turn_restriction;;restriction=no_u_turn;;;4790377;257822135;4790377
21006690;restriction_added;turn_restriction;;restriction=no_right_turn;;;4790377;223888361,223888370;27994230
21006691;restriction_added;turn_restriction;;restriction=no_u_turn;;;223888361;223888370;27994230
21006692;restriction_added;turn_restriction;;restriction=only_straight_on;;;4790377;30727076;4630067
21006694;restriction_added;turn_restriction;;restriction=only_straight_on;;;632502704;30727076;223888361
21006695;restriction_added;turn_restriction;;restriction=only_straight_on;;;223888361;6436144743;918867255
21006696;restriction_added;turn_restriction;;restriction=no_u_turn;;;128382479;30727063;128382479
21006697;restriction_added;turn_restriction;;restriction=no_u_turn;;;1200671587;30727063;1200671587
21006698;restriction_added;turn_restriction;;restriction=no_u_turn;;;1421193875;30727063;1421193875
21006699;restriction_added;turn_restriction;;restriction=no_u_turn;;;133090116;30727063;133090116
21006700;restriction_added;turn_restriction;;restriction=no_u_turn;;;593196918;4151780750;593196918
21006701;restriction_added;turn_restriction;;restriction=no_u_turn;;;1530947432;4151780750;1530947432
21006702;restriction_added;turn_restriction;;restriction=no_u_turn;;;1200473744;149822664;149822662
21006703;restriction_added;turn_restriction;;restriction=no_u_turn;;;149822656;6932602;149822656
21006704;restriction_added;turn_restriction;;restriction=no_u_turn;;;149822664;6932602;149822664
21006705;restriction_added;turn_restriction;;restriction=no_u_turn;;;149822664;1627691505;149822664
21006706;restriction_added;turn_restriction;;restriction=no_u_turn;;;93712180;1627691505;93712180
21006707;restriction_added;turn_restriction;;restriction=no_u_turn;;;128932650;81940417;142276766
21006708;restriction_added;turn_restriction;;restriction=no_u_turn;;;566830404;81940417;149822663
21006709;restriction_added;turn_restriction;;restriction=no_u_turn;;;731575955;6932599;731575955
21006710;restriction_added;turn_restriction;;restriction=no_u_turn;;;81940417;6932599;81940417
21006711;restriction_added;turn_restriction;;restriction=no_u_turn;;;81940417;49345436;81940417
21006712;restriction_added;turn_restriction;;restriction=no_u_turn;;;149822659;49345436;149822659
